TITLE,FILE NAME,URL,TYPE OF RESOURCE,FORM,EXTENT,IMPRINT,ISSUANCE,LANGUAGE,MAP DATA,ASSOCIATED WITH,SUBJECT,GENRE,NOTE,RELATED ITEM,STATEMENT OF RESPONSIBILITY,OCLC,ALTERNATIVE TITLE,APPEARS IN,PUBLISHER,LOCATION,LCCN,ADDITIONAL PHYSICAL FORM,MANUFACTURER,ONLINE VERSION,UNIFORM TITLE,CARTOGRAPHER,LITHOGRAPHER,CONTAINS,LOCAL NOTE,ISSUING BODY,REPRODUCTION,DISTRIBUTOR
"Nagoya : municipal water supply, distribution",cx861js2541,https://purl.stanford.edu/cx861js2541,Cartographic;,cartographic material;map;,1 map : col. ; 52 x 40 cm;,"8 Feb. 1945. - [Washington : Reproduction Branch, Office of Strategic Services], 1945;",monographic;,English;,"Scale [ca. 1:33,000].;","United States, Office of Strategic Services., Research and Analysis Branch.;United States, Office of Strategic Services., Reproduction Branch.;",Water-supply > Japan > Nagoya-shi > Maps;Nagoya-shi (Japan) > Maps;,Map;,"""Provisional edition."";""No. 5971--R & A, OSS."";Includes location map and data reliability table.;",,,,,,,,,,,,,,,,,,,
Netherlands : areas of inundation,vs994hw9066,https://purl.stanford.edu/vs994hw9066,Cartographic;,,1 map.;,"Provisional ed. - District of Columbia, 1945;",monographic;,English;,"Scale [ca. 1:1,045,440];","United States, Office of Strategic Services., Research and Analysis Branch.;",,Map;,"Shows areas of flooding October and November, 1944, and areas subject to inundation.;",,,,,,,,,,,,,,,,,,,
Norddeutschland,yb577hq5637,https://purl.stanford.edu/yb577hq5637,Cartographic;,map;unmediated;sheet;,1 map ; 24 x 45 cm;,"[Washington, D.C.] : R & A, OSS, 1945;",monographic;,English;,"Scale [ca. 1:3,000,000] ; ; modified Kegel projection.;","United States, Office of Strategic Services., Research and Analysis Branch.;","Germany, Northern > Maps;Germany, Northern;",Map;Cartographic image-cri;Maps.;,"""No. A-6268--R&A."";""7 March 1945."";""From: Dierake, Carl. Schule Atlas für Höhere Lehrenstalten, 1942. pp. 148-149.;",,"lithographed in Reproduction Branch, OSS.;",,,,,,,,,,,,,,,,,
North China: agricultural areas,xp661fh2026,https://purl.stanford.edu/xp661fh2026,Cartographic;,,1 map : col. ; 26 x 33 cm.;,"Provisional ed. - [Washington, D.C.] : Reproduction Branch, OSS, 1945;",monographic;,English;,"Scale [ca. 1:3,700,000];","United States, Office of Strategic Services., Research and Analysis Branch.;",Agriculture > China > Maps;,Map;,"""No. 5422."";",,"R & A, OSS.;",,,,,,,,,,,,,,,,,
North China density of population by hsien,dc111wc0730,https://purl.stanford.edu/dc111wc0730,Cartographic;,,1 map : col. ; 30 x 34 cm.;,"Provisional ed. - [Washington, D.C.?] : Reproduction Branch, OSS, 1945;",monographic;,English;,"Scale [ca. 1:2,600,000];","United States, Office of Strategic Services., Research and Analysis Branch.;",Hebei Sheng (China) > Population > Maps;Shandong Sheng (China) > Population > Maps;,Map;,"""No. 7299."";",,"R & A, OSS.;",,,,,,,,,,,,,,,,,
"North China, Hopeh Province, Wang-tu",bf432mf6166,https://purl.stanford.edu/bf432mf6166,Cartographic;,,1 map : col. ; 29 x 20 cm.;,"18 July 1945. Provisional ed. - [Washington] : OSS, 1945;",monographic;,English;,"Scale [ca. 1:5,900];","United States, Office of Strategic Services.;","Wang-tu (Hopeh Province, China) > Maps;",Map;,"Includes location map.;""No. 7292--R & A, OSS."";",,,,,,,,,,,,,,,,,,,
North China : industrial installations and electric power plants,xx224sb7546,https://purl.stanford.edu/xx224sb7546,Cartographic;,,1 map.;,"Provisional ed. - District of Columbia, 1945;",monographic;,English;,"Scale [ca. 1:2,534,400];","United States, Office of Strategic Services., Research and Analysis Branch.;",,Map;,"""No. 7277, 21 July 1945."";",,,,,,,,,,,,,,,,,,,
North China : Mineral resources,tv793mh4606,https://purl.stanford.edu/tv793mh4606,Cartographic;,,1 map.;,"Provisional ed. - District of Columbia, 1945;",monographic;,English;,"Scale [ca. 1:3,801,600];","United States, Office of Strategic Services., Research and Analysis Branch.;",,Map;,"""No. 5423, 19 January 1945."";Shows railroads.;",,,,,,,,,,,,,,,,,,,
North China percentage of cultivation by hsien,wr789kv4142,https://purl.stanford.edu/wr789kv4142,Cartographic;,map;unmediated;sheet;,1 map ; 30 x 35 cm;,"Provisional ed. - [Washington, D.C.] : Lithographed in the Reproduction Branch, OSS, [1945];",monographic;,English;,"Scale [ca. 1:2,600,000] ; (E 114°--E 123°/N 41°--N 34°).;","United States, Office of Strategic Services., Research and Analysis Branch.;United States, Office of Strategic Services., Reproduction Branch.;",Agriculture > China > North China Plain > Maps;Agriculture;China > North China Plain;,Map;Cartographic image-cri;Maps.;Maps.;,"""No. 7191, R & A, OSS."";""1 August 1945."";In upper right corner: free.;Includes location map, text, and index to regions.;",,,,,,,,2007627217;,,,,,,,,,,,
"North China, Shantung Province, town plan of Chü-hsien",rw260tz9652,https://purl.stanford.edu/rw260tz9652,Cartographic;,,1 map : col. ; 30 x 25 cm.;,"4 July 1945. Provisional ed. - [Washington] : OSS, 1945;",monographic;,English;,"Scale [ca. 1:6,000];","United States, Office of Strategic Services.;",Chʻü hsien (China) > Maps;,Map;,"Includes location map.;""No. 7251--R & A, OSS."";",,,,Town plan of Chü-hsien;,,,,,,,,,,,,,,,
"North China, Shantung Province, Wei-hai-wei",sf751hs9725,https://purl.stanford.edu/sf751hs9725,Cartographic;,,1 map ; 30 x 43 cm.;,"16 July 1945. - [Washington] : OSS, 1945;",monographic;,English;,"Scale [ca. 1:18,000];","United States, Office of Strategic Services.;",Weihai (China) > Maps;,Map;,"Relief shown by hachures and spot heights.;Includes location map.;""No. A-7274--R & A, OSS."";",,,,,,,,,,,,,,,,,,,
North-central Luzon,nv891yg1973,https://purl.stanford.edu/nv891yg1973,Cartographic;,map;unmediated;sheet;,1 map ; 24 x 16 cm.;,"Provisional ed. - [Washington, D.C.] : R & A, OSS, 1945;",monographic;,English;,"Scale [ca. 1:2,300,000].;","United States, Office of Strategic Services., Research and Analysis Branch.;",Luzon (Philippines) > Maps;Philippines > Luzon;,Map;Cartographic image-cri;Physical maps.;Maps.;Physical maps.;,Relief shown by landform drawings.;Compiled by the Office of Strategic Services.;,Map ; no. 7101;,,,,,,,,,,,,,,,,,,
Northeast Brazil : roads,ym692dt3295,https://purl.stanford.edu/ym692dt3295,Cartographic;,,1 map.;,"Provisional ed. - District of Columbia, 1945;",monographic;,English;,,"United States, Office of Strategic Services., Research and Analysis Branch., Geography Division.;",Roads > Brazil > Maps;,Map;,Includes location map.;,,,,,,,,,,,,,,,,,,,
Northern Luzon,xg465fr5775,https://purl.stanford.edu/xg465fr5775,Cartographic;,map;unmediated;sheet;,1 map ; 16 x 12 cm;,"Provisional ed. - [Washington, D.C.] : R & A, OSS, 1945;",monographic;,English;,"Scale [ca. 1:2,500,000] ; (E 122°35ʹ--E 120°06ʹ/N 18°58ʹ--N 15°35ʹ).;","United States, Office of Strategic Services., Research and Analysis Branch.;",Luzon (Philippines) > Maps;Philippines > Luzon;,Map;Government publication;Cartographic image;Maps.;Maps.;,"Relief shown by hachures.;""9 June 1945."";""No. 7164."";",,,,,,,,,,,,,,,,,,,
Northwest China generalized soil types,yk014tj8050,https://purl.stanford.edu/yk014tj8050,Cartographic;,map;,1 map.;,"China, 1945;",monographic;,English;,"Scale [ca. 1:3,000,000];","United States, Office of Strategic Services.;Thorp, James, 1896-;",,Map;,"""From: Thorp, James, Generalized map of the soils of China, June, 1936, in 'Geography of the soils of China'."";""Provisional edition"";""No.3231 - R & A, OSS"";",,,,Generalized map of the soils of China;Geography of the soil of China;,,,,,,,,,,,,,,,
Northwest China transportation,mw986xf2876,https://purl.stanford.edu/mw986xf2876,Cartographic;,,1 map : col. ; 59 x 60 cm.;,"Provisional ed. - [Washington, D.C.] : Reproduction Branch, OSS, 1945;",monographic;,English;,"Scale [ca. 1:3,000,000];","United States, Office of Strategic Services., Research and Analysis Branch.;",Transportation > China > Maps;,Map;,"Inset maps: Routes to northwest China through Russia and India. -- [Area map];""No. 3294."";Relief shown by spot heights.;Includes reliability diagram.;",,"R & A, OSS.;",,,,,,,,,,,,,,,,,
Northwest Kyushu,bj583bw7327,https://purl.stanford.edu/bj583bw7327,Cartographic;,map;unmediated;sheet;,1 map : color ; 49 x 64 cm;,"Provisional ed. - [Washington, D.C.] : Reproduction Branch, OSS, 1945;",monographic;,English;,"Scale [ca. 1:250,000] ; ; Polyconic projection (E 129°32ʹ--E 131°12ʹ/N 34°05ʹ--N 33°00ʹ).;","United States, Office of Strategic Services., Research and Analysis Branch.;United States, Office of Strategic Services., Reproduction Branch.;",Fukuoka-shi (Japan) > Maps;Kyūshū Region (Japan) > Maps;Japan > Fukuoka-shi;Japan > Kyūshū Region;,Map;Government publication;Cartographic image;Maps.;,"Relief indicated by contours and spot heights.;Dated: 18 May 1945.;Covers Fukuoka Prefecture and surrounding area of northwest Kyushu.;""From A.M.S. L571."";""No. 6493 -- R & A, OSS."";",,,,,,,,,,,,,,,,,,,
Nueva Ecija,mr369rs3234,https://purl.stanford.edu/mr369rs3234,Cartographic;,map;,1 map : col. ; 49 x 37 cm.;,[Washington?] : G.P.O. [1945?];,monographic;,English;,"Scale [ca. 1:265,000] ; (E 120⁰40ʹ--E 121⁰20ʹ/N 16⁰00ʹ--N 15⁰20ʹ);","United States, Office of Strategic Services., Research and Analysis Branch.;",Nueva Ecija (Philippines : Province) > Maps;,Map;,"No. A 3483--R & A, OSS; 15 February 1945.;""Base from: ""Census of the Philippines, 1939,"" Volume 1, Manila, 1940."";",,,,,,,,,,,,,,,,,,,
Nueva Vizcaya,mk558mj6724,https://purl.stanford.edu/mk558mj6724,Cartographic;,map;,1 map : col. ; 49 x 37 cm.;,"[Washington?] : Reproduction Branch, OSS, [1945?];",monographic;,English;,"Scale [ca. 1:153,000] ; (E 121⁰00ʹ--E 122⁰00ʹ/N 16⁰40ʹ--N 15⁰40ʹ);","United States, Office of Strategic Services., Research and Analysis Branch.;",Nueva Vizcaya (Philippines) > Maps;,Map;,"No. A 3484--R & A, OSS; 2 February 1945.;""Base from: ""Census of the Philippines, 1939,"" Volume 1, Manila, 1940."";",,,,,,,,,,,,,,,,,,,
Okinawa - Jima,cs994jc4799,https://purl.stanford.edu/cs994jc4799,Cartographic;,map;unmediated;sheet;,1 map ; 23 x 20 cm;,"Provisional ed. - [Washington, D.C.] : Reproduction Branch, OSS, 1945;",monographic;,English;,"Scale [ca. 1:430,000] ; (E 127°36ʹ--E 128°20ʹ/N 26°53ʹ--N 26°04ʹ).;","United States, Office of Strategic Services., Research and Analysis Branch.;",Railroads > Japan > Okinawa Island > Maps;Roads > Japan > Okinawa Island > Maps;Railroads;Roads;Japan > Okinawa Island;,Map;Cartographic image-cri;Road maps.;Maps.;Road maps.;,"Roads and railroads are shown.;""From AMS L591, 3rd edition, 1945."";""No. 6406."";""R & A, OSS."";""24 April 1945."";""Free."";",,,,,,,,,,,,,,,,,,,
Pampanga,gf655fd3688,https://purl.stanford.edu/gf655fd3688,Cartographic;,map;,1 map : col. ; 49 x 37 cm.;,[Washington?] : G.P.O. [1945?];,monographic;,English;,"Scale [ca. 1:195,000] ; (E 120⁰40ʹ/N 15⁰00ʹ);","United States, Office of Strategic Services., Research and Analysis Branch.;",Pampanga (Philippines) > Maps;,Map;,"No. A 3485--R & A, OSS; 15 February 1945.;""Base from: ""Census of the Philippines, 1939,"" Volume 1, Manila, 1940."";",,,,,,,,,,,,,,,,,,,
Pangasinan : eastern part,gm465wf1740,https://purl.stanford.edu/gm465wf1740,Cartographic;,map;,1 map : col. ; 49 x 37 cm.;,[Washington?] : G.P.O. [1945?];,monographic;,English;,"Scale [ca. 1:195,000] ; (E 120⁰20ʹ--E 120⁰40ʹ/N 16⁰00ʹ);","United States, Office of Strategic Services., Research and Analysis Branch.;",Pangasinan (Philippines) > Maps;,Map;,"No. A 3486--R & A, OSS; 1 February 1945.;""Base from: ""Census of the Philippines, 1939,"" Volume 1, Manila, 1940."";",,,,,,,,,,,,,,,,,,,
Pangasinan : western part,bn013zn5808,https://purl.stanford.edu/bn013zn5808,Cartographic;,map;,1 map : col. ; 49 x 37 cm.;,[Washington?] : G.P.O. [1945?];,monographic;,English;,"Scale [ca. 1:195,000] ; (E 120⁰00ʹ--E 120⁰20ʹ/N 16⁰20ʹ--N 15⁰40ʹ);","United States, Office of Strategic Services., Research and Analysis Branch.;",Pangasinan (Philippines) > Maps;,Map;,"No. A 3487--R & A, OSS; 15 February 1945.;""Base from: ""Census of the Philippines, 1939,"" Volume 1, Manila, 1940."";",,,,,,,,,,,,,,,,,,,
"Paraguay, Roads",tx820vz4460,https://purl.stanford.edu/tx820vz4460,Cartographic;,map;,1 map : col. ; 38 x 33 cm.;,"Provisional ed. - [Washington, D.C.] : lithographed in the Reproduction Branch, OSS, 1945;",monographic;,English;,"Scale [ca. 1:2,800,000];","United States, Office of Strategic Services.;",Roads > Paraguay > Maps;,Map;,"""No. 3445."";""Reliability code: 00-2B-2."";""Road data as of June, 1944."";",,,,Paraguay [map];Roads [map];,,,,,,,,,,,,,,,
Peninsular Thailand and Malaya,qw383jc0442,https://purl.stanford.edu/qw383jc0442,Cartographic;,map;unmediated;sheet;,1 map : color ; 40 x 24 cm;,"Provisional ed. - [Washington] : Reproduction Branch, OSS, 1945;",monographic;,English;,"Scale [ca. 1:3,600,000].;","United States, Office of Strategic Services., Research and Analysis Branch.;United States, Office of Strategic Services., Reproduction Branch.;",Malay Peninsula > Maps;Asia > Malay Peninsula;,Map;Government publication;Cartographic image;Maps;,"Relief shown by hachures and spot heights.;Includes ""Reliability of data"" diagram and glossary.;""No. 6310--R & A, OSS, 13 August 1945."";",,,,,,,,,,,,,,,,,,,
[ Poland-Soviet Union (Ukraine) frontier],zk523hh0189,https://purl.stanford.edu/zk523hh0189,Cartographic;,map;,1 map : col. ; 33 x 21 cm;,"[Washington, D.C : OSS, 1945];",monographic;,English;,"Scale [ca. 1:990,000] ; (E 22°--E 25°/N 51°--N 48°).;","United States, Office of Strategic Services.;",Boundaries;Poland > Boundaries > Soviet Union > Maps;Soviet Union > Boundaries > Poland > Maps;Poland;Soviet Union;,Map;Maps.;,"Shows frontiers and administrative boundaries. Frontiers printed in color on black-and-white topographic base map.;Relief shown by contours and spot heights.;Title supplied by cataloger.;""Illustration 2."";""SGA.11.12.19."";""NO. A-8114--R & A, OSS. 6 August 1945."";""8671. F307-23."";",,,,,,,,,,,,,,,,,,,
Political divisions of Malaya : Johore,qm300hk3649,https://purl.stanford.edu/qm300hk3649,Cartographic;,,1 map.;,"Provisional ed. - United States, 1945;",monographic;,English;,"Scale [ca. 1:411,840].;","United States, Office of Strategic Services.;",,Map;,Includes location map.;,OSS map ; no. 5326;,,,,,,,,,,,,,,,,,,
Political divisions of Malaya : Kedah and Perlis,ng851mx0430,https://purl.stanford.edu/ng851mx0430,Cartographic;,,1 map.;,"Provisional ed. - United States, 1945;",monographic;,English;,"Scale [ca. 1:190,080].;","United States, Office of Strategic Services.;",,Map;,Includes location map and inset of P. Langkawi.;,OSS map ; no. 5333;,,,,,,,,,,,,,,,,,,
Political divisions of Malaya : Malacca,nq006zc9960,https://purl.stanford.edu/nq006zc9960,Cartographic;,,1 map.;,"Provisional ed. - United States, 1945;",monographic;,English;,"Scale [ca. 1:84,480].;","United States, Office of Strategic Services.;",,Map;,Includes location map.;,OSS map ; no. 5375;,,,,,,,,,,,,,,,,,,
Political divisions of Malaya : Negri Sembilan,vw413bb4148,https://purl.stanford.edu/vw413bb4148,Cartographic;,,1 map.;,"Provisional ed. - United States, 1945;",monographic;,English;,"Scale [ca. 1:190,080].;","United States, Office of Strategic Services.;",,Map;,Includes location map.;,OSS map ; no. 5327;,,,,,,,,,,,,,,,,,,
Political divisions of Malaya : Penang and Province Wellesley,ps976pm5212,https://purl.stanford.edu/ps976pm5212,Cartographic;,,1 map.;,"Provisional ed. - United States, 1945;",monographic;,English;,"Scale [ca. 1:72,411].;","United States, Office of Strategic Services.;",,Map;,Includes location map.;,OSS map ; no. 5334;,,,,,,,,,,,,,,,,,,
Political divisions of Malaya : Selangor,gj397nd4179,https://purl.stanford.edu/gj397nd4179,Cartographic;,,1 map.;,"Provisional ed. - United States, 1945;",monographic;,English;,"Scale [ca. 1:202,752].;","United States, Office of Strategic Services.;",,Map;,Includes location map.;,OSS map ; no. 5328;,,,,,,,,,,,,,,,,,,
Political divisions of Malaya. Singapore Island,pz952sv9650,https://purl.stanford.edu/pz952sv9650,Cartographic;,cartographic material;map;unmediated;sheet;,1 map : color ; 31 x 42 cm;,"Provisional ed. - [Washington, D.C.] : Reproduction Branch, OSS, [1945];",monographic;,English;,"Scale [1:95,000] ; (E 103°40ʹ--E 103°59ʹ/N 1°29ʹ--N 1°10ʹ).;","United States, Office of Strategic Services., Research and Analysis Branch.;",Administrative and political divisions;Singapore > Administrative and political divisions > Maps;Singapore;,Map;Cartographic image-cri;Maps;Maps;,"""No. 5376--R & A, OSS; 23 January 1945."";Includes location map and data reliability table.;""Restricted."";",,"Office of Strategic Services, Research and Analysis Branch.;",,Singapore Island;,,,,,,,,,,,,,,,
Pomerania,mq723mw6995,https://purl.stanford.edu/mq723mw6995,Cartographic;,map;unmediated;sheet;,1 map ; 19 x 32 cm;,"[Washington, D.C.] : OSS, 1945;",monographic;,English;,"Scale [1:1,400,000].;","United States, Office of Strategic Services., Research and Analysis Branch.;",Railroads > Poland > Pomorskie > Maps;Pomorskie (Poland) > Maps;,Map;Cartographic image-cri;,"Legend.;Indicates railroads, international boundaries (1937), province or state boundaries (1941), boundary of Pomerania.;Dated: 14 March 1945.;""No. 6273."";",,,,,,,,,,,,,,,,,,,
Provinces of China,nt370gg8992,https://purl.stanford.edu/nt370gg8992,Cartographic;,,1 map.;,"District of Columbia, 1945;",monographic;,English;,"Scale [ca. 1:6,250,000];","United States, Office of Strategic Services.;",,Map;,"""Map no. 5610, 20 January 1945."";",,,,,,,,,,,,,,,,,,,
"P.W. installations in Germany and Austria : prisoners from the armies of the United States, France, Great Britain and the dominions (February 1, 1945)",pg551gj7265,https://purl.stanford.edu/pg551gj7265,Cartographic;,map;unmediated;sheet;,1 map : color ; 50 x 54 cm;,"Provisional ed. - [Washington, D.C.] : Reproduction Branch, OSS, 1945;",monographic;,English;,"Scale [ca. 1:2,300,000] ; (E 4°--E 23°/N 56°--N 46°).;","United States, Office of Strategic Services., Research and Analysis Branch.;United States, Office of Strategic Services., Reproduction Branch.;",Prisoners of war > Germany > Maps;Prisoners of war > Austria > Maps;Prisoners of war;Germany > Maps;Austria > Maps;Austria;Germany;,Map;Government publication;Cartographic image;Maps.;,"""No. 5990, R & A, OSS, 6 February, 1945."";",,,,,,,,,,,,,,,,,,,
Rizal,qw437qb5370,https://purl.stanford.edu/qw437qb5370,Cartographic;,map;,1 map : col. ; 49 x 37 cm.;,[Washington?] : G.P.O. [1945?];,monographic;,English;,"Scale [ca. 1:205,000] ; (E 121⁰00ʹ--E 121⁰20ʹ/N 14⁰40ʹ--N 14⁰20ʹ);","United States, Office of Strategic Services., Research and Analysis Branch.;",Rizal (Philippines : Province) > Maps;,Map;,"No. A 3488--R & A, OSS; 15 February 1945.;""Base from: ""Census of the Philippines, 1939,"" Volume 1, Manila, 1940."";",,,,,,,,,,,,,,,,,,,
Romblon,zy485bz1693,https://purl.stanford.edu/zy485bz1693,Cartographic;,map;,1 map : col. ; 49 x 37 cm.;,[Washington?] : G.P.O. [1945?];,monographic;,English;,"Scale [ca. 1:320,000] ; (E 122⁰00ʹ--E 122⁰40ʹ/N 13⁰00ʹ--N 12⁰00ʹ);","United States, Office of Strategic Services., Research and Analysis Branch.;",Romblon (Philippines : Province) > Maps;,Map;,"No. A 3489--R & A, OSS; 15 February 1945.;Insets: Banton I. ; Simara I. ; Romblon.;""Base from: ""Census of the Philippines, 1939,"" Volume 1, Manila, 1940."";",,,,,,,,,,,,,,,,,,,
"Sakhalin (including Karafuto) administrative divisions : with cities, towns and other settlements",dq757dg5969,https://purl.stanford.edu/dq757dg5969,Cartographic;,map;unmediated;sheet;,"2 maps on 1 sheet ; 29 x 20 cm and 29 x 16 cm, on sheet 34 x 43 cm;","[Washington, D.C.] : Reproduction Branch, OSS, 1945;",monographic;,English;,"Scale [ca. 1:1,775,000] ; (E 142°--E 145°/N 54°--N 46°).;","United States, Office of Strategic Services., Research and Analysis Branch.;","Administrative and political divisions;Sakhalin (Sakhalinskai͡a oblastʹ, Russia) > Administrative and political divisions > Maps;Russia (Federation) > Sakhalin (Sakhalinskai͡a oblastʹ);",Map;Cartographic image-cri;Maps.;,"Data for Karafuto as of 1943; Sakhalin as of 1939.;Dated: 16 June 1945.;Includes reliability table and glossary.;""No. 7137."";",,"R & A, OSS.;",,,,,,,,,,,,,,,,,
Sakhalin (including Karafuto) : construction materials,rv074wm8823,https://purl.stanford.edu/rv074wm8823,Cartographic;,map;unmediated;sheet;,1 map ; 30 x 16 cm;,"Provisional ed. - [Washington, D.C.] : Reproduction Branch, OSS, 1945;",monographic;,English;,"Scale [ca. 1:3,500,000] ; (E 139°--E 147°/N 54°--N 46°).;","United States, Office of Strategic Services., Research and Analysis Branch.;United States, Office of Strategic Services., Reproduction Branch.;","Quarries and quarrying > Russia (Federation) > Sakhalin (Sakhalinskai͡a oblastʹ) > Maps;Quarries and quarrying;Sakhalin (Sakhalinskai͡a oblastʹ, Russia) > Maps;Russia (Federation) > Sakhalin (Sakhalinskai͡a oblastʹ);",Map;Cartographic image-cri;Maps.;,"Dated: 19 June 1945.;Includes glossary and table: Reliability of data.;""No. 7138."";",,"R & A, OSS.;",,,,,,,,,,,,,,,,,
Sakhalin (including Karafuto) : relief diagram,tk001fj0928,https://purl.stanford.edu/tk001fj0928,Cartographic;,map;unmediated;sheet;,1 map ; 24 x 9 cm;,"Provisional ed. - [Washington, D.C.] : Reproduction Branch, OSS, 1945;",monographic;,English;,"Scale [ca. 1:5,000,000] ; (E 140°--E 146°/N 55°--N 46°).;","United States, Office of Strategic Services., Research and Analysis Branch.;United States, Office of Strategic Services., Reproduction Branch.;","Sakhalin (Sakhalinskai͡a oblastʹ, Russia) > Maps;Russia (Federation) > Sakhalin (Sakhalinskai͡a oblastʹ);",Map;Government publication;Cartographic image;Maps.;,"Dated: 26 July 1945.;Relief indicated by shading.;""No. 8022."";",,"R & A, OSS.;",,,,,,,,,,,,,,,,,
Selected routes across the Indochinese peninsula,yr725sk2018,https://purl.stanford.edu/yr725sk2018,Cartographic;,cartographic material;map;unmediated;sheet;,1 map : color ; 54 x 47 cm;,"Provisional ed. (1st revision.). - [Washington] : OSS, 1945;",monographic;,English;,"Scale 1:5,100,000.;","United States, Office of Strategic Services.;",Transportation > Southeast Asia > Maps;Transportation > Indochina > Maps;Transportation;Indochina;Southeast Asia;,Map;Cartographic image-cri;Maps;,"Shows roads, trails, railways, water routes, and aerial cableways.;""No. 3133--R & A, OSS ... Revised 10 March 1945."";Includes shaded relief map.;",,,,,,,,,,,,,,,,,,,
Silesia,gd617jb4864,https://purl.stanford.edu/gd617jb4864,Cartographic;,map;,1 map ; 20 x 30 cm.;,"Provisional ed. - [Washington, D.C.] : lithographed in the Reproduction Branch, OSS, 1945;",monographic;,English;,"Scale [ca. 1:1,850,000];","United States, Office of Strategic Services., Research and Analysis Branch.;","Silesia, Upper (Poland and Czech Republic) > Maps;Silesia, Lower (Poland and Germany) > Maps;",Map;,"""No. 6119-R & A, OSS, 30 Jan., 1945."";Includes location map.;",,,,,,,,,,,,,,,,,,,
"Sketch map, average precipitation in summer (May-October) in Hopeh and Shantung, China",nz639rt2992,https://purl.stanford.edu/nz639rt2992,Cartographic;,,1 map ; 29 x 31 cm.;,"Provisional ed. - [Washington, D.C.?] : Reproduction Branch, OSS, 1945;",monographic;,English;,"Scale [ca. 1:2,700,000];","United States, Office of Strategic Services., Research and Analysis Branch.;",Precipitation (Meteorology) > China > Hebei Sheng > Maps;Precipitation (Meteorology) > China > Shandong Sheng > Maps;,Map;,"""No. 3606."";",,"R & A, OSS.;",,,,,,,,,,,,,,,,,
"Sketch map : average precipitation in winter (Nov.-April) in Hopeh and Shantung, China",xp076hv4189,https://purl.stanford.edu/xp076hv4189,Cartographic;,map;unmediated;sheet;,1 map ; 31 x 33 cm;,"Provisional ed. - [Washington, D.C.] : Office of Strategic Services, 1945;",monographic;,English;,"Scale [1:2,750,000] ; (E 114°--E 122°/N 40°--N 36°).;","United States, Office of Strategic Services., Research and Analysis Branch.;",Precipitation gauges > China > Hebei Sheng > Maps;Precipitation gauges > China > Shandong Sheng > Maps;Precipitation gauges;China > Hebei Sheng;China > Shandong Sheng;,Map;Cartographic image-cri;Maps.;,"In upper right corner and lower margin: ""FREE."";""No. 3605-R & A, OSS, 28 July 1945."";",,"lithographed in the reproduction branch, OSS.;",156751866;,,,,,2007627927;,,,,,,,,,,,
"Sketch map, corn : distribution of planted acreage, Manchuria 1935",pz104vy9748,https://purl.stanford.edu/pz104vy9748,Cartographic;,map;unmediated;sheet;,"1 map ; 30 x 27 cm, on sheet 33 x 32 cm;","Provisional ed. - [Washington, D.C.] : Lithographed in the Reproduction Branch, SSU, 1945;",monographic;,English;,"Scale [1:5,600,000].;","United States, Department of State., Interim Research and Intelligence Service., Research and Analysis Branch.;United States, War Department., Strategic Services Unit., Reproduction Branch.;",Corn > China > Manchuria > Maps;Agriculture > Maps;Agriculture;Corn;Manchuria (China) > Maps > Agriculture;China > Manchuria;,Map;Cartographic image-cri;Thematic maps.;Maps.;Thematic maps.;,"""No. 3625.5."";""31 December 1945."";""Free."";""Adapted from Manchu Nogoyo Tokai (statistics of Manchurian Agriculture) 1935."";",,"R & A, IRIS.;",55664560;,,,,,,,,,,,,,,,,
"Sketch map, Kaoliang : distribution of planted acreage, Manchuria 1935",ry900rb5265,https://purl.stanford.edu/ry900rb5265,Cartographic;,map;unmediated;sheet;,"1 map ; 30 x 27 cm, on sheet 34 x 32 cm;","Provisional ed. - [Washington, D.C.] : Lithographed in the Reproduction Branch, SSU, 1945;",monographic;,English;,"Scale [1:5,600,000].;","United States, Department of State., Interim Research and Intelligence Service., Research and Analysis Branch.;United States, War Department., Strategic Services Unit., Reproduction Branch.;",Kaoliang > China > Manchuria > Maps;Agriculture > Maps;Agriculture;Kaoliang;Manchuria (China) > Maps > Agriculture;China > Manchuria;,Map;Government publication;Cartographic image;Thematic maps.;Maps;Thematic maps.;,"""Adapted from Manchu Nogoyo Tokai (statistics of Manchurian Agriculture) 1935."";""Railroads (revised to 1945)."";""No. 3625.2."";""31 December 1945."";""Free."";",,"R & A, IRIS.;",,,,,,,,,,,,,,,,,
"Sketch map, millet : distribution of planted acreage, Manchuria 1935",cg619bb2731,https://purl.stanford.edu/cg619bb2731,Cartographic;,map;unmediated;sheet;,"1 map ; 30 x 27 cm, on sheet 33 x 32 cm;","Provisional ed. - [Washington, D.C.] : Lithographed in the Reproduction Branch, 1945;",monographic;,English;,"Scale [1:5,600,000].;","United States, Department of State., Interim Research and Intelligence Service., Research and Analysis Branch.;United States, War Department., Strategic Services Unit., Reproduction Branch.;",Millets > China > Manchuria > Maps;Agriculture > Maps;Agriculture;Millets;Manchuria (China) > Maps > Agriculture;China > Manchuria;,Map;Cartographic image-cri;Thematic maps.;Maps.;Thematic maps.;,"""No. 3625.6."";""31 December 1945."";""Free."";",,"R & A, IRIS.;",55668266;,,,,,,,,,,,,,,,,
